,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,IQR
District,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm_Area_Hectares,4000.0,7.888265,4.223763740410758,0.5,4.26,7.895,11.65,15.0,-0.035090110899922006,-1.2212088877915248,7.390000000000001
Rainfall_mm,4000.0,600.922825,287.1933805399701,80.0,371.57500000000005,582.0,831.975,1395.2,0.14277427415330388,-0.8315965890035444,460.4
Avg_Temperature_C,4000.0,26.818900000000003,3.818179856208145,16.2,23.9,26.9,29.6,39.7,0.002294057179374376,-0.5118676921830239,5.700000000000003
Humidity_pct,4000.0,63.2105,11.960834215838975,25.0,54.775,63.0,71.9,95.0,-0.023558324037524062,-0.3269501853124086,17.125000000000007
Sunlight_Hours_Day,4000.0,7.323049999999999,1.1211859622696407,3.5,6.6,7.3,8.1,11.0,0.07284392199378707,-0.05997754389321974,1.5
Soil_pH,4000.0,6.70101,0.6414609480997143,5.2,6.26,6.69,7.14,8.4,0.05151623909016336,-0.22363445029645668,0.8799999999999999
Soil_Moisture_pct,4000.0,26.507150000000003,6.678837143837116,8.0,21.8,26.4,31.2,47.0,-0.0313825790595764,-0.34515041139880065,9.399999999999999
Nitrogen_kg_ha,4000.0,120.25082499999999,31.216451688707075,40.0,98.5,120.1,141.225,220.0,0.020244772721977895,-0.1781713189313754,42.724999999999994
Phosphorus_kg_ha,4000.0,57.781850000000006,17.015074456704305,15.0,46.2,57.5,69.4,120.0,0.07601046177111268,-0.07457213853002154,23.200000000000003
Potassium_kg_ha,4000.0,104.76004999999999,27.742680621733687,30.0,86.2,105.1,123.6,200.0,-0.050161894105577906,-0.06109341896909104,37.39999999999999
Fertilizer_kg_ha,4000.0,186.036,60.26058320720206,40.0,143.975,186.25,227.2,400.0,0.06757588833017496,-0.11564764762654933,83.225
Pesticide_Litre_ha,4000.0,5.0709349999999995,1.9788792450631307,0.5,3.69,5.12,6.4,12.08,0.018263083119741855,-0.251027436624919,2.7100000000000004
Seed_Quality_Score,4000.0,0.8261375000000001,0.10174671587966927,0.65,0.74,0.83,0.91,1.0,-0.026561416618135044,-1.1997176940250214,0.17000000000000004
Yield_Tonnes_Ha,4000.0,5.242349999999999,13.311548527821733,0.3,1.05,1.74,2.83,101.44,4.058454996564137,16.26610050186802,1.78
Production_Tonnes,4000.0,43.246210000000005,126.88052096356591,0.15,5.02,11.77,24.355,1424.4,5.129463822327807,29.156476247628927,19.335
Market_Price_INR_Tonne,4000.0,44714.16625,30266.16192202906,2594.0,21429.25,25913.0,68279.0,131240.0,0.6147824604243647,-0.6806038857366135,46849.75
Total_Cost_INR,4000.0,526303.583,294419.1409106581,26826.0,274577.5,519082.5,761996.5,1349990.0,0.1670716654545765,-0.962755429999822,487419.0
Revenue_INR,4000.0,637860.048,636974.7100537787,6107.0,207517.25,456830.5,836874.75,5080900.0,2.290794301034967,7.22366627309232,629357.5
Profit_INR,4000.0,111556.465,545081.8905089501,-1019223.0,-148731.75,3673.0,216187.75,4345421.0,2.4194386708752935,8.984143812600095,364919.5
Water_Used_m3,4000.0,6045.57025,5572.944306031097,128.0,2268.75,4435.0,7829.75,40902.0,1.9119037102358345,4.217612135850466,5561.0
Water_Efficiency_t_per_1000m3,4000.0,5.385214249999999,8.838100836573801,0.135,1.661,2.9375,5.15025,79.8,4.279446849510593,21.193976751539374,3.4892499999999997
Disease_Pest_Risk_pct,4000.0,46.365875,12.42441706959543,5.0,37.3,46.4,54.9,88.9,0.0477457700249484,-0.22902716928196387,17.6
Calculated_Revenue,4000.0,637860.0462000001,636974.7129629158,6107.14,207517.1475,456830.29999999993,836874.585,5080899.51,2.2907943058752025,7.223666180431522,629357.4375
Calculated_Profit,4000.0,111556.465,545081.8905089501,-1019223.0,-148731.75,3673.0,216187.75,4345421.0,2.4194386708752935,8.984143812600095,364919.5
Profit_Per_Hectare,4000.0,13555.024510365503,58939.074035277554,-83127.36572890026,-25353.732021433272,778.6949258462029,31262.419140174723,356585.57692307694,1.7271599760538199,3.7564916423823242,56616.151161607995
Cost_Per_Hectare,4000.0,66660.08493794086,8845.64425809289,35807.38255033557,60597.20594318809,66614.04816606973,72739.9775274987,97185.35108958838,0.014114379370808174,-0.09083658913540571,12142.771584310613
Revenue_Per_Hectare,4000.0,80215.10944830636,58262.5700377654,4439.466895958727,42325.161825726136,67082.98440065682,96800.41432699122,422793.5096153846,1.7728604081056636,3.8370930937907484,54475.25250126508
Profit_Margin_Pct,4000.0,-45.49217839680511,158.08547183445785,-1461.8512188540074,-60.19276224466283,1.1462355008876113,32.885876039468954,85.92121955579177,-3.758384536408903,17.90950305924424,93.07863828413178
NPK_Total_kg_ha,4000.0,282.79272499999996,45.445873975969945,118.30000000000001,251.67499999999998,281.6,313.2,438.5,0.07333420498553829,-0.05294099650611184,61.525000000000006
Water_Used_Per_Ha_m3,4000.0,765.3910276923164,511.24407749881067,148.1904761904762,416.0967741935484,603.29978475095,882.598561812785,3027.2727272727275,1.4507184481175852,1.4776559959803115,466.50178761923655
